"cog","subject","sex","r","c","part"
6884.153617993726,"s006",m,1,1,"informal"
4535.983737303807,"s006",m,1,1,"informal"
5395.8509982882015,"s006",m,1,1,"informal"
6098.856601997778,"s006",m,1,1,"informal"
2875.2437102113786,"s006",m,1,1,"informal"
6381.143806333635,"s006",m,1,1,"informal"
7850.568580615482,"s006",m,1,1,"informal"
7592.767563540416,"s006",m,1,1,"informal"
7549.659189006476,"s006",m,1,1,"informal"
3524.7131270692653,"s006",m,1,1,"informal"
5883.745358839535,"s006",m,1,1,"informal"
7083.865079824341,"s006",m,1,1,"informal"
4550.672627950609,"s006",m,1,1,"informal"
5709.229442924582,"s006",m,1,1,"informal"
5308.97699153357,"s006",m,1,1,"informal"
6663.464533925671,"s006",m,1,1,"informal"
4607.310489915689,"s006",m,1,1,"informal"
5211.056491498681,"s006",m,1,1,"informal"
5497.403898355404,"s006",m,1,1,"informal"
5563.29861791452,"s006",m,1,1,"informal"
1840.1366524286598,"s006",m,1,1,"informal"
7864.891672202246,"s006",m,1,1,"informal"
5664.867449040262,"s006",m,1,1,"informal"
6776.1495489120225,"s006",m,1,1,"informal"
8243.256769115564,"s006",m,1,1,"informal"
5848.948523852978,"s006",m,1,1,"informal"
5984.317797270681,"s006",m,1,1,"informal"
4122.840269100085,"s006",m,1,1,"informal"
7265.795981972306,"s006",m,1,1,"informal"
5549.966560557589,"s006",m,1,1,"informal"
5393.11427637727,"s006",m,1,1,"informal"
6246.08012932898,"s006",m,1,1,"informal"
6883.303479189885,"s006",m,1,1,"informal"
7010.4274052226565,"s006",m,1,1,"informal"
7216.107093248853,"s006",m,1,1,"informal"
7545.408890659608,"s006",m,1,1,"informal"
6430.0116256863175,"s006",m,1,1,"informal"
3865.7694997554822,"s006",m,1,1,"informal"
6366.738965001848,"s006",m,1,1,"informal"
5091.084772418023,"s006",m,1,1,"informal"
7766.041809028955,"s006",m,1,1,"informal"
7943.896870565175,"s006",m,1,1,"informal"
1749.0075597795449,"s006",m,1,1,"informal"
7886.715232704316,"s006",m,1,1,"informal"
7918.850983365042,"s006",m,1,1,"informal"
5605.477673163727,"s006",m,1,1,"informal"
6324.113691817093,"s006",m,1,1,"informal"
3709.552033551798,"s006",m,1,1,"informal"
5503.84608575306,"s006",m,1,1,"informal"
7542.350556672603,"s006",m,1,1,"informal"
